,lang,langType,English,Portuguese
711,tg,tg,Tajik,Tadjique
712,tg-TJ,tg,Tajik,Tadjique
713,th,th,Thai,Tailandês
714,th-TH,th,Thai,Tailandês
715,ti,ti,Tigrinya,Tigrínia
716,ti-ER,ti,Tigrinya,Tigrínia
717,ti-ET,ti,Tigrinya,Tigrínia
718,tk,tk,Turkmen,Turcomano
719,tk-TM,tk,Turkmen,Turcomano
720,Tonga,Tonga,Tonga,Tonga
721,Tonga,Tonga,Tonga,Tonga
722,tr,tr,Turkish,Turco
723,tr-CY,tr,Turkish,Turco
724,tr-TR,tr,Turkish,Turco
725,tt,tt,Tatar,Tártaro
726,tt-RU,tt,Tatar,Tártaro
727,twq,twq,Unknown,Desconhecido
728,twq-NE,twq,Unknown,Desconhecido
729,tzm,tzm,Unknown,Desconhecido
730,tzm-MA,tzm,Unknown,Desconhecido
731,Uighur,Uighur,Uighur,Uigur
732,Uighur,Uighur,Uighur,Uigur
733,uk,uk,Ukrainian,Ucraniano
734,uk-UA,uk,Ukrainian,Ucraniano
735,ur,ur,Urdu,Urdu
736,ur-IN,ur,Urdu,Urdu
737,ur-PK,ur,Urdu,Urdu
738,uz,uz,Uzbek,Usbeque
739,uz-Arab,uz,Uzbek,Usbeque
740,uz-Arab-AF,uz,Uzbek,Usbeque
741,uz-Cyrl,uz,Uzbek,Usbeque
742,uz-Cyrl-UZ,uz,Uzbek,Usbeque
743,uz-Latn,uz,Uzbek,Usbeque
744,uz-Latn-UZ,uz,Uzbek,Usbeque
745,vai,vai,Unknown,Desconhecido
746,vai-Latn,vai,Unknown,Desconhecido
747,vai-Latn-LR,vai,Unknown,Desconhecido
748,vai-Vaii,vai,Unknown,Desconhecido
749,vai-Vaii-LR,vai,Unknown,Desconhecido
750,vi,vi,Vietnamese,Vietnamita
751,vi-VN,vi,Vietnamese,Vietnamita
752,vo,vo,Volapük,Volapuque
753,vo-001,vo,Volapük,Volapuque
754,vun,vun,Unknown,Desconhecido
755,vun-TZ,vun,Unknown,Desconhecido
756,wae,wae,Unknown,Desconhecido
757,wae-CH,wae,Unknown,Desconhecido
758,wo,wo,Wolof,Uólofe
759,wo-SN,wo,Wolof,Uólofe
760,xh,xh,Xhosa,Xhosa
761,xh-ZA,xh,Xhosa,Xhosa
762,xog,xog,Unknown,Desconhecido
763,xog-UG,xog,Unknown,Desconhecido
764,yav,yav,Unknown,Desconhecido
765,yav-CM,yav,Unknown,Desconhecido
766,yi,yi,Yiddish,Iídiche
767,yi-001,yi,Yiddish,Iídiche
768,yo,yo,Yoruba,Ioruba
769,yo-BJ,yo,Yoruba,Ioruba
770,yo-NG,yo,Yoruba,Ioruba
771,yue,yue,Unknown,Desconhecido
772,yue-Hans,yue,Unknown,Desconhecido
773,yue-Hans-CN,yue,Unknown,Desconhecido
774,yue-Hant,yue,Unknown,Desconhecido
775,yue-Hant-HK,yue,Unknown,Desconhecido
776,zgh,zgh,Unknown,Desconhecido
777,zgh-MA,zgh,Unknown,Desconhecido
778,zh,zh,Chinese,Chinês
779,zh-Hans,zh,Chinese,Chinês
780,zh-Hans-CN,zh,Chinese,Chinês
781,zh-Hans-HK,zh,Chinese,Chinês
782,zh-Hans-MO,zh,Chinese,Chinês
783,zh-Hans-SG,zh,Chinese,Chinês
784,zh-Hant,zh,Chinese,Chinês
785,zh-Hant-HK,zh,Chinese,Chinês
786,zh-Hant-MO,zh,Chinese,Chinês
787,zh-Hant-TW,zh,Chinese,Chinês
788,zu,zu,Zulu,Zulu
789,zu-ZA,zu,Zulu,Zulu
